level		chinese		japanese		korean		pos
1	:	末	:	-まつ	:	…말	:	noun
1	:	愛好	:	あいこう	:	애호	:	noun
1	:	愛想	:	あいそう	:	붙임성, 배려	:	noun
1	:	間柄	:	あいだがら	:	혈족·친척간의 관계	:	noun
1	:	合間	:	あいま	:	틈, 짬, 참참	:	noun
1	:	仰向け	:	あおむけ	:	뒤로 잦혀 위를 봄	:	noun
1	:	垢	:	あか	:	때, 더러움	:	noun
1	:	証	:	あかし	:	증거, 증명, 결백의 증거	:	noun
1	:	上がり	:	あがり	:	올라감	:	noun
1	:	諦め	:	あきらめ	:	체념하는 일, 단념	:	noun
1	:	悪	:	あく	:	악	:	noun
1	:	悪臭	:	あくしゅう	:	악취	:	noun
1	:	悪循環	:	あくじゅんかん	:	악순환	:	noun
1	:	憧れ·憬れ	:	あこがれ	:	동경	:	noun
1	:	麻	:	あさ	:	삼·모시·삼, 삼실, 삼베	:	noun
1	:	朝飯前	:	あさめしまえ	:	조반 전, 아주 쉬움	:	noun
1	:	痣/黶	:	あざ	:	피부의 반점, 모반, 멍	:	noun
1	:	味わい	:	あじわい	:	맛, 맛의 깊이, 풍미	:	noun
1	:	値	:	あたい	:	값어치, 가치, 값, 수치	:	noun
1	:	当(た)り	:	あたり	:	촉감, 감촉, 붙임성	:	noun
1	:	斡旋	:	あっせん	:	알선, 주선	:	noun
1	:	圧倒	:	あっとう	:	압도	:	noun
1	:	圧迫	:	あっぱく	:	압박	:	noun
1	:	扱い	:	あつかい	:	취급, 다룸, 대우, 중재	:	noun
1	:	圧力	:	あつりょく	:	압력	:	noun
1	:	当て	:	あて	:	댐, 목표, 기대, 방법, 수단	:	noun
1	:	あて字·当て字·宛て字	:	あてじ	:	취음자, 차자, 군두목	:	noun
1	:	後片付け·跡片付け·後片付け·跡片付け	:	あとかたづけ	:	뒤처리, →あとしまつ	:	noun
1	:	跡継(ぎ)·後継(ぎ)	:	あとつぎ	:	집안의 대를 이음, 후계자	:	noun
1	:	後回し·後廻し	:	あとまわし	:	뒤로 미룸, 뒷전	:	noun
1	:	油絵	:	あぶらえ	:	유화, 양화	:	noun
1	:		:	あべこべ	:	거꾸로, 반대, 뒤바뀜	:	noun
1	:	天下り·天降り	:	あまくだり	:	강림, 하림, 전하여	:	noun
1	:	甘口	:	あまくち	:	단맛이 돎, 감언	:	noun
1	:	雨具	:	あまぐ	:	우비	:	noun
1	:	網	:	あみ	:	그물, 망	:	noun
1	:	歩み	:	あゆみ	:	걸음, 보조, 진행, 경과	:	noun
1	:	争い	:	あらそい	:	다툼, 싸움, 분쟁	:	noun
1	:	有(り)様	:	ありさま	:	모양, 상태	:	noun
1	:	有りの儘	:	ありのまま	:	있는 그대로, 사실대로	:	noun
1	:	合(わ)せ	:	あわせ	:	맞춤, 맞대게 함	:	noun
1	:	安価	:	あんか	:	안가, 값쌈, 싼 값	:	noun
1	:	暗殺	:	あんさつ	:	암살	:	noun
1	:	暗算·諳算	:	あんざん	:	암산	:	noun
1	:	暗示	:	あんじ	:	암시	:	noun
1	:	安静	:	あんせい	:	안정	:	noun
1	:	安堵	:	あんど	:	안도	:	noun
1	:	案の定	:	あんのじょう	:	예측대로, 아니나다를까	:	noun
1	:	意	:	い	:	마음, 생각, 내용, 뜻	:	noun
1	:	異	:	い	:	다름, 특별, 다른 의견	:	noun
1	:	言(い)分	:	いいぶん	:	할 말, 불평, 이의	:	noun
1	:	言(い)訳	:	いいわけ	:	변명, 핑계, 사죄, 사과	:	noun
1	:	医院	:	いいん	:	의원	:	noun
1	:	家出	:	いえで	:	가출, 출가	:	noun
1	:	遺憾	:	いかん	:	유감	:	noun
1	:	粋	:	いき	:	순수하다, 정수	:	noun
1	:	生きがい·生甲斐	:	いきがい	:	사는 보람, 산 보람	:	noun
1	:	行(き)違い	:	いきちがい	:	엇갈림, 틀어짐	:	noun
1	:	異議	:	いぎ	:	이의	:	noun
1	:	偉業	:	いぎょう	:	위업	:	noun
1	:	意気地	:	いくじ	:	고집, 기개	:	noun
1	:	育成	:	いくせい	:	육성	:	noun
1	:	幾度	:	いくど	:	몇 번	:	noun
1	:	異見	:	いけん	:	이견, 다른 의견	:	noun
1	:	移行	:	いこう	:	이행, 바뀜	:	noun
1	:	意向·意嚮	:	いこう	:	의향	:	noun
1	:	居心地	:	いごこち	:	어떤 자리에서 느끼는 기분	:	noun
1	:	衣装·衣裳	:	いしょう	:	의상	:	noun
1	:	意地	:	いじ	:	고집, 물욕, 식욕	:	noun
1	:	移住	:	いじゅう	:	이주	:	noun
1	:	異性	:	いせい	:	이성	:	noun
1	:	遺跡·遺蹟	:	いせき	:	유적, 유지	:	noun
1	:	依存	:	いぞん	:	의존	:	noun
1	:	委託	:	いたく	:	위탁	:	noun
1	:	頂き·戴き	:	いただき	:	이기는 일, 무단 도용	:	noun
1	:	頂	:	いただき	:	꼭대기, 정상	:	noun
1	:	市	:	いち	:	저자, 시장, 거리, 시가	:	noun
1	:	一丸	:	いちがん	:	한 덩어리	:	noun
1	:	一同	:	いちどう	:	일동	:	noun
1	:	一部分	:	いちぶぶん	:	일부분	:	noun
1	:	一別	:	いちべつ	:	일별, 헤어짐	:	noun
1	:	一面	:	いちめん	:	일면, 한쪽 면, 하나	:	noun
1	:	一目	:	いちもく	:	일목, 한쪽 눈, 한 번 봄	:	noun
1	:	一律	:	いちりつ	:	일률	:	noun
1	:	一連	:	いちれん	:	일련, 관계 있는 일의 연결	:	noun
